Name,Feature_Description,pklid,Latitude,Longitude,Date,MapInfo,Province,fklFeatureSubTypeID,Previous_Name,fklMagisterialDistrictID,ProvinceID,fklLanguageID,fklDisteral,Local Municipality,Sound,District Municipality,fklLocalMunic,Comments,Meaning
Berea,Town,95102,-26.18222222,28.05333333,31-05-1993,,Gauteng,111,,273,3,16,JHB,Johannesburg Metro,,Johannesburg Metro,JHB,,The name derives from the name of the former leader of the African National Congress Oliver Reginald Tambo
Berea,Town,95103,-29.85055556,31.00194444,,,KwaZulu-Natal,111,,200,4,16,ETH,eThekwini Metro,,,ETH,,
Berea West,Town,95106,-29.83888889,30.94444444,31-05-1989,,KwaZulu-Natal,111,,202,4,16,ETH,eThekwini Metro,,,ETH,,
Berg en Dal,Town,95112,-33.63888889,19.01388889,31-05-1979,,Western Cape,111,,9,9,16,DC2,Drakenstein,,,WC023,,
Bergbron,Town,95119,-26.1625,27.95277778,31-05-1995,,Gauteng,111,,287,3,16,JHB,Johannesburg Metro,,Johannesburg Metro,JHB,,The name derives from the name of the former leader of the African National Congress Oliver Reginald Tambo
Berg-en-dal,Town,95116,-23.10833333,28.72777778,31-05-1983,,Limpopo,111,,344,7,16,DC35,Blouberg,,,NP351,,
Bergplaas,Town,95135,-32.69111111,26.87694444,01-06-1998,,Eastern Cape,111,,90,1,16,DC12,Nkonkobe,,,EC127,,
Bergplaas,Town,95136,-33.90027778,22.67166667,31-05-1982,,Western Cape,111,,19,9,16,DC4,George,,,WC044,,
Bergrivier,Town,95144,-32.925,18.32805556,31-05-1982,,Western Cape,111,,32,9,16,DC1,Bergrivier,,,WC013,,
Bergsig,Town,95151,-26.49194444,28.3825,31-05-1995,,Gauteng,111,,281,3,16,DC42,Lesedi,,,GT423,,
Bergsig,Town,95153,-29.65027778,17.875,31-05-1973,,Northern Cape,111,,122,6,16,DC6,Nama Khoi,,,NC062,,
Bergsig,Town,95159,-33.38638889,25.45055556,31-05-1990,,Eastern Cape,111,,71,1,16,DC10,Sunday's River Valley,,,EC106,,
Bergview Oos,Town,95164,-22.35138889,30.02944444,,,Limpopo,111,,326,7,16,DC34,Musina,,,NP341,,
Bergview Wes,Town,95165,-22.35333333,30.02277778,,,Limpopo,111,,326,7,16,DC34,Musina,,,NP341,,
Bergvliet,Urban Area,95169,-34.0425,18.44527778,01-06-1992,,Western Cape,114,,6,9,16,CPT,Cape Town Metro,,Cape Town Metro,CPT,TESTING,Place of stones
Berkshire Downs,Town,95170,-29.7875,30.87833333,31-05-1989,,KwaZulu-Natal,111,,202,4,16,ETH,eThekwini Metro,,,ETH,,
Berlin,Town,95171,-32.88333333,27.57944444,31-05-1989,,Eastern Cape,111,,63,1,16,DC12,Buffalo City,,,EC125,,
Bertha Shaft Village,Town,95184,-26.75388889,27.94,31-05-1995,,Free State,111,,197,2,16,DC20,Metsimaholo,,,FS204,,
Berton Park,Town,95185,-26.19194444,28.20666667,31-05-1993,,Gauteng,111,,277,3,16,EKU,Ekurhuleni Metro,,,EKU,,
Bertrams,Town,95186,-26.19111111,28.06555556,31-05-1993,,Gauteng,111,,273,3,16,JHB,Johannesburg Metro,,Johannesburg Metro,JHB,,The name derives from the name of the former leader of the African National Congress Oliver Reginald Tambo
Bethal,Town,94840,-26.45694444,29.47083333,31-05-1996,,Mpumalanga,111,,295,5,16,DC30,Govan Mbeki,,,MP307,,
Bethal East,Town,94844,-26.43555556,29.49083333,31-05-1996,,Mpumalanga,111,,295,5,16,DC30,Govan Mbeki,,,MP307,,
